file,class,method,variable,usage
C:\ghidra-master\GPL\DMG\src\dmg\java\mobiledevices\dmg\decmpfs\DecmpfsHeader.java,mobiledevices.dmg.decmpfs.DecmpfsHeader,"DecmpfsHeader/2[mobiledevices.dmg.ghidra.GBinaryReader,int]",uncompressed_size,1
C:\ghidra-master\GPL\DMG\src\dmg\java\mobiledevices\dmg\decmpfs\DecmpfsHeader.java,mobiledevices.dmg.decmpfs.DecmpfsHeader,"DecmpfsHeader/2[mobiledevices.dmg.ghidra.GBinaryReader,int]",attr_bytes,1
C:\ghidra-master\GPL\DMG\src\dmg\java\mobiledevices\dmg\decmpfs\DecmpfsHeader.java,mobiledevices.dmg.decmpfs.DecmpfsHeader,"DecmpfsHeader/2[mobiledevices.dmg.ghidra.GBinaryReader,int]",compression_type,1
C:\ghidra-master\GPL\DMG\src\dmg\java\mobiledevices\dmg\decmpfs\DecmpfsHeader.java,mobiledevices.dmg.decmpfs.DecmpfsHeader,"DecmpfsHeader/2[mobiledevices.dmg.ghidra.GBinaryReader,int]",compression_magic,1
C:\ghidra-master\GPL\DMG\src\dmg\java\mobiledevices\dmg\decmpfs\DecmpfsHeader.java,mobiledevices.dmg.decmpfs.DecmpfsHeader,getCompressionMagic/0,compression_magic,1
C:\ghidra-master\GPL\DMG\src\dmg\java\mobiledevices\dmg\decmpfs\DecmpfsHeader.java,mobiledevices.dmg.decmpfs.DecmpfsHeader,getCompressionType/0,compression_type,1
C:\ghidra-master\GPL\DMG\src\dmg\java\mobiledevices\dmg\decmpfs\DecmpfsHeader.java,mobiledevices.dmg.decmpfs.DecmpfsHeader,getUncompressedSize/0,uncompressed_size,1
C:\ghidra-master\GPL\DMG\src\dmg\java\mobiledevices\dmg\decmpfs\DecmpfsHeader.java,mobiledevices.dmg.decmpfs.DecmpfsHeader,getAttrBytes/0,attr_bytes,1
C:\ghidra-master\GPL\DMG\src\dmg\java\mobiledevices\dmg\ghidra\GRandomAccessFile.java,mobiledevices.dmg.ghidra.GRandomAccessFile,close/0,randomAccessFile,1
C:\ghidra-master\GPL\DMG\src\dmg\java\mobiledevices\dmg\ghidra\GRandomAccessFile.java,mobiledevices.dmg.ghidra.GRandomAccessFile,close/0,open,1
C:\ghidra-master\GPL\DMG\src\dmg\java\mobiledevices\dmg\ghidra\GRandomAccessFile.java,mobiledevices.dmg.ghidra.GRandomAccessFile,length/0,randomAccessFile,1
C:\ghidra-master\GPL\DMG\src\dmg\java\mobiledevices\dmg\ghidra\GRandomAccessFile.java,mobiledevices.dmg.ghidra.GRandomAccessFile,"GRandomAccessFile/2[java.io.File,java.lang.String]",randomAccessFile,1
C:\ghidra-master\GPL\DMG\src\dmg\java\mobiledevices\dmg\ghidra\GRandomAccessFile.java,mobiledevices.dmg.ghidra.GRandomAccessFile,"GRandomAccessFile/2[java.io.File,java.lang.String]",open,1
C:\ghidra-master\GPL\DMG\src\dmg\java\mobiledevices\dmg\ghidra\GRandomAccessFile.java,mobiledevices.dmg.ghidra.GRandomAccessFile,"read/3[byte[],int,int]",bufferOffset,4
C:\ghidra-master\GPL\DMG\src\dmg\java\mobiledevices\dmg\ghidra\GRandomAccessFile.java,mobiledevices.dmg.ghidra.GRandomAccessFile,"read/3[byte[],int,int]",bufferFileStartIndex,1
C:\ghidra-master\GPL\DMG\src\dmg\java\mobiledevices\dmg\ghidra\GRandomAccessFile.java,mobiledevices.dmg.ghidra.GRandomAccessFile,"read/3[byte[],int,int]",buffer,1
C:\ghidra-master\GPL\DMG\src\dmg\java\mobiledevices\dmg\ghidra\GRandomAccessFile.java,mobiledevices.dmg.ghidra.GRandomAccessFile,"read/3[byte[],int,int]",BUFFER_SIZE,3
C:\ghidra-master\GPL\DMG\src\dmg\java\mobiledevices\dmg\ghidra\GRandomAccessFile.java,mobiledevices.dmg.ghidra.GRandomAccessFile,swapInLast/0,bufferOffset,2
C:\ghidra-master\GPL\DMG\src\dmg\java\mobiledevices\dmg\ghidra\GRandomAccessFile.java,mobiledevices.dmg.ghidra.GRandomAccessFile,swapInLast/0,lastbuffer,2
C:\ghidra-master\GPL\DMG\src\dmg\java\mobiledevices\dmg\ghidra\GRandomAccessFile.java,mobiledevices.dmg.ghidra.GRandomAccessFile,swapInLast/0,bufferFileStartIndex,2
C:\ghidra-master\GPL\DMG\src\dmg\java\mobiledevices\dmg\ghidra\GRandomAccessFile.java,mobiledevices.dmg.ghidra.GRandomAccessFile,swapInLast/0,buffer,3
C:\ghidra-master\GPL\DMG\src\dmg\java\mobiledevices\dmg\ghidra\GRandomAccessFile.java,mobiledevices.dmg.ghidra.GRandomAccessFile,swapInLast/0,lastbufferOffset,2
C:\ghidra-master\GPL\DMG\src\dmg\java\mobiledevices\dmg\ghidra\GRandomAccessFile.java,mobiledevices.dmg.ghidra.GRandomAccessFile,swapInLast/0,EMPTY,1
C:\ghidra-master\GPL\DMG\src\dmg\java\mobiledevices\dmg\ghidra\GRandomAccessFile.java,mobiledevices.dmg.ghidra.GRandomAccessFile,swapInLast/0,lastbufferFileStartIndex,2
C:\ghidra-master\GPL\DMG\src\dmg\java\mobiledevices\dmg\ghidra\GRandomAccessFile.java,mobiledevices.dmg.ghidra.GRandomAccessFile,seek/1[long],bufferOffset,2
C:\ghidra-master\GPL\DMG\src\dmg\java\mobiledevices\dmg\ghidra\GRandomAccessFile.java,mobiledevices.dmg.ghidra.GRandomAccessFile,seek/1[long],bufferFileStartIndex,6
C:\ghidra-master\GPL\DMG\src\dmg\java\mobiledevices\dmg\ghidra\GRandomAccessFile.java,mobiledevices.dmg.ghidra.GRandomAccessFile,seek/1[long],buffer,1
C:\ghidra-master\GPL\DMG\src\dmg\java\mobiledevices\dmg\ghidra\GRandomAccessFile.java,mobiledevices.dmg.ghidra.GRandomAccessFile,seek/1[long],EMPTY,1
C:\ghidra-master\GPL\DMG\src\dmg\java\mobiledevices\dmg\ghidra\GRandomAccessFile.java,mobiledevices.dmg.ghidra.GRandomAccessFile,seek/1[long],BUFFER_SIZE,2
C:\ghidra-master\GPL\DMG\src\dmg\java\mobiledevices\dmg\ghidra\GRandomAccessFile.java,mobiledevices.dmg.ghidra.GRandomAccessFile,readByte/0,bufferOffset,1
C:\ghidra-master\GPL\DMG\src\dmg\java\mobiledevices\dmg\ghidra\GRandomAccessFile.java,mobiledevices.dmg.ghidra.GRandomAccessFile,readByte/0,buffer,1
C:\ghidra-master\GPL\DMG\src\dmg\java\mobiledevices\dmg\ghidra\GRandomAccessFile.java,mobiledevices.dmg.ghidra.GRandomAccessFile,finalize/0,open,1
C:\ghidra-master\GPL\DMG\src\dmg\java\mobiledevices\dmg\ghidra\GRandomAccessFile.java,mobiledevices.dmg.ghidra.GRandomAccessFile,ensure/1[int],randomAccessFile,2
C:\ghidra-master\GPL\DMG\src\dmg\java\mobiledevices\dmg\ghidra\GRandomAccessFile.java,mobiledevices.dmg.ghidra.GRandomAccessFile,ensure/1[int],bufferOffset,4
C:\ghidra-master\GPL\DMG\src\dmg\java\mobiledevices\dmg\ghidra\GRandomAccessFile.java,mobiledevices.dmg.ghidra.GRandomAccessFile,ensure/1[int],bufferFileStartIndex,6
C:\ghidra-master\GPL\DMG\src\dmg\java\mobiledevices\dmg\ghidra\GRandomAccessFile.java,mobiledevices.dmg.ghidra.GRandomAccessFile,ensure/1[int],buffer,2
C:\ghidra-master\GPL\DMG\src\dmg\java\mobiledevices\dmg\ghidra\GRandomAccessFile.java,mobiledevices.dmg.ghidra.GRandomAccessFile,ensure/1[int],BUFFER_SIZE,2
C:\ghidra-master\GPL\DMG\src\dmg\java\mobiledevices\dmg\ghidra\GRandomAccessFile.java,mobiledevices.dmg.ghidra.GRandomAccessFile,"write/3[byte[],int,int]",randomAccessFile,1
C:\ghidra-master\GPL\DMG\src\dmg\java\mobiledevices\dmg\ghidra\GRandomAccessFile.java,mobiledevices.dmg.ghidra.GRandomAccessFile,"write/3[byte[],int,int]",bufferOffset,1
C:\ghidra-master\GPL\DMG\src\dmg\java\mobiledevices\dmg\ghidra\GRandomAccessFile.java,mobiledevices.dmg.ghidra.GRandomAccessFile,"write/3[byte[],int,int]",lastbuffer,1
C:\ghidra-master\GPL\DMG\src\dmg\java\mobiledevices\dmg\ghidra\GRandomAccessFile.java,mobiledevices.dmg.ghidra.GRandomAccessFile,"write/3[byte[],int,int]",buffer,1
C:\ghidra-master\GPL\DMG\src\dmg\java\mobiledevices\dmg\ghidra\GRandomAccessFile.java,mobiledevices.dmg.ghidra.GRandomAccessFile,"write/3[byte[],int,int]",lastbufferOffset,1
C:\ghidra-master\GPL\DMG\src\dmg\java\mobiledevices\dmg\ghidra\GRandomAccessFile.java,mobiledevices.dmg.ghidra.GRandomAccessFile,"write/3[byte[],int,int]",EMPTY,2
C:\ghidra-master\GPL\DMG\src\dmg\java\mobiledevices\dmg\ghidra\GRandomAccessFile.java,mobiledevices.dmg.ghidra.GRandomAccessFile,checkOpen/0,open,1
C:\ghidra-master\GPL\DMG\src\dmg\java\mobiledevices\dmg\ghidra\GConv.java,mobiledevices.dmg.ghidra.GConv,shortToInt/1[short],SHORT_MASK,1
C:\ghidra-master\GPL\DMG\src\dmg\java\mobiledevices\dmg\ghidra\GConv.java,mobiledevices.dmg.ghidra.GConv,shortToLong/1[short],SHORT_MASK,1
C:\ghidra-master\GPL\DMG\src\dmg\java\mobiledevices\dmg\ghidra\GConv.java,mobiledevices.dmg.ghidra.GConv,byteToLong/1[byte],BYTE_MASK,1
C:\ghidra-master\GPL\DMG\src\dmg\java\mobiledevices\dmg\ghidra\GConv.java,mobiledevices.dmg.ghidra.GConv,intToLong/1[int],INT_MASK,1
C:\ghidra-master\GPL\DMG\src\dmg\java\mobiledevices\dmg\ghidra\GConv.java,mobiledevices.dmg.ghidra.GConv,byteToShort/1[byte],BYTE_MASK,1
C:\ghidra-master\GPL\DMG\src\dmg\java\mobiledevices\dmg\ghidra\GConv.java,mobiledevices.dmg.ghidra.GConv,byteToInt/1[byte],BYTE_MASK,1
C:\ghidra-master\GPL\DMG\src\dmg\java\mobiledevices\dmg\btree\BTreeNodeDescriptor.java,mobiledevices.dmg.btree.BTreeNodeDescriptor,"readRecords/2[mobiledevices.dmg.ghidra.GBinaryReader,long]",_records,1
C:\ghidra-master\GPL\DMG\src\dmg\java\mobiledevices\dmg\btree\BTreeNodeDescriptor.java,mobiledevices.dmg.btree.BTreeNodeDescriptor,getReserved/0,reserved,1
C:\ghidra-master\GPL\DMG\src\dmg\java\mobiledevices\dmg\btree\BTreeNodeDescriptor.java,mobiledevices.dmg.btree.BTreeNodeDescriptor,getRecords/0,_records,1
C:\ghidra-master\GPL\DMG\src\dmg\java\mobiledevices\dmg\btree\BTreeNodeDescriptor.java,mobiledevices.dmg.btree.BTreeNodeDescriptor,getBLink/0,bLink,1
C:\ghidra-master\GPL\DMG\src\dmg\java\mobiledevices\dmg\btree\BTreeNodeDescriptor.java,mobiledevices.dmg.btree.BTreeNodeDescriptor,getKind/0,kind,1
C:\ghidra-master\GPL\DMG\src\dmg\java\mobiledevices\dmg\btree\BTreeNodeDescriptor.java,mobiledevices.dmg.btree.BTreeNodeDescriptor,getNumRecords/0,numRecords,1
C:\ghidra-master\GPL\DMG\src\dmg\java\mobiledevices\dmg\btree\BTreeNodeDescriptor.java,mobiledevices.dmg.btree.BTreeNodeDescriptor,BTreeNodeDescriptor/1[mobiledevices.dmg.ghidra.GBinaryReader],fLink,1
C:\ghidra-master\GPL\DMG\src\dmg\java\mobiledevices\dmg\btree\BTreeNodeDescriptor.java,mobiledevices.dmg.btree.BTreeNodeDescriptor,BTreeNodeDescriptor/1[mobiledevices.dmg.ghidra.GBinaryReader],bLink,1
C:\ghidra-master\GPL\DMG\src\dmg\java\mobiledevices\dmg\btree\BTreeNodeDescriptor.java,mobiledevices.dmg.btree.BTreeNodeDescriptor,BTreeNodeDescriptor/1[mobiledevices.dmg.ghidra.GBinaryReader],reserved,1
C:\ghidra-master\GPL\DMG\src\dmg\java\mobiledevices\dmg\btree\BTreeNodeDescriptor.java,mobiledevices.dmg.btree.BTreeNodeDescriptor,BTreeNodeDescriptor/1[mobiledevices.dmg.ghidra.GBinaryReader],kind,1
C:\ghidra-master\GPL\DMG\src\dmg\java\mobiledevices\dmg\btree\BTreeNodeDescriptor.java,mobiledevices.dmg.btree.BTreeNodeDescriptor,BTreeNodeDescriptor/1[mobiledevices.dmg.ghidra.GBinaryReader],numRecords,1
C:\ghidra-master\GPL\DMG\src\dmg\java\mobiledevices\dmg\btree\BTreeNodeDescriptor.java,mobiledevices.dmg.btree.BTreeNodeDescriptor,BTreeNodeDescriptor/1[mobiledevices.dmg.ghidra.GBinaryReader],height,1
C:\ghidra-master\GPL\DMG\src\dmg\java\mobiledevices\dmg\btree\BTreeNodeDescriptor.java,mobiledevices.dmg.btree.BTreeNodeDescriptor,"readRecordOffsets/3[mobiledevices.dmg.ghidra.GBinaryReader,long,mobiledevices.dmg.btree.BTreeHeaderRecord]",_recordOffsets,1
C:\ghidra-master\GPL\DMG\src\dmg\java\mobiledevices\dmg\btree\BTreeNodeDescriptor.java,mobiledevices.dmg.btree.BTreeNodeDescriptor,getFLink/0,fLink,1
C:\ghidra-master\GPL\DMG\src\dmg\java\mobiledevices\dmg\btree\BTreeNodeDescriptor.java,mobiledevices.dmg.btree.BTreeNodeDescriptor,getHeight/0,height,1
C:\ghidra-master\GPL\DMG\src\dmg\java\mobiledevices\dmg\btree\BTreeNodeDescriptor.java,mobiledevices.dmg.btree.BTreeNodeDescriptor,getRecordOffsets/0,_recordOffsets,1
C:\ghidra-master\GPL\DMG\src\dmg\java\mobiledevices\dmg\reader\DmgFileReader.java,mobiledevices.dmg.reader.DmgFileReader,open/0,provider,1
C:\ghidra-master\GPL\DMG\src\dmg\java\mobiledevices\dmg\reader\DmgFileReader.java,mobiledevices.dmg.reader.DmgFileReader,open/0,rras,7
C:\ghidra-master\GPL\DMG\src\dmg\java\mobiledevices\dmg\reader\DmgFileReader.java,mobiledevices.dmg.reader.DmgFileReader,"decompressResourceFork/3[mobiledevices.dmg.reader.FSEntry,mobiledevices.dmg.reader.ReadableRandomAccessStream,int]",ledc,2
C:\ghidra-master\GPL\DMG\src\dmg\java\mobiledevices\dmg\reader\DmgFileReader.java,mobiledevices.dmg.reader.DmgFileReader,"decompressResourceFork/3[mobiledevices.dmg.reader.FSEntry,mobiledevices.dmg.reader.ReadableRandomAccessStream,int]",bedc,1
C:\ghidra-master\GPL\DMG\src\dmg\java\mobiledevices\dmg\reader\DmgFileReader.java,mobiledevices.dmg.reader.DmgFileReader,getFileByPath/1[java.lang.String],fileSystemHandlers,1
C:\ghidra-master\GPL\DMG\src\dmg\java\mobiledevices\dmg\reader\DmgFileReader.java,mobiledevices.dmg.reader.DmgFileReader,getListing/1[java.lang.String],fileSystemHandlers,1
C:\ghidra-master\GPL\DMG\src\dmg\java\mobiledevices\dmg\reader\DmgFileReader.java,mobiledevices.dmg.reader.DmgFileReader,getLength/1[mobiledevices.dmg.reader.FSEntry],parser,2
C:\ghidra-master\GPL\DMG\src\dmg\java\mobiledevices\dmg\reader\DmgFileReader.java,mobiledevices.dmg.reader.DmgFileReader,openPartition/1[mobiledevices.dmg.reader.Partition],rootFolders,1
C:\ghidra-master\GPL\DMG\src\dmg\java\mobiledevices\dmg\reader\DmgFileReader.java,mobiledevices.dmg.reader.DmgFileReader,openPartition/1[mobiledevices.dmg.reader.Partition],parser,1
C:\ghidra-master\GPL\DMG\src\dmg\java\mobiledevices\dmg\reader\DmgFileReader.java,mobiledevices.dmg.reader.DmgFileReader,openPartition/1[mobiledevices.dmg.reader.Partition],fileSystemHandlers,1
C:\ghidra-master\GPL\DMG\src\dmg\java\mobiledevices\dmg\reader\DmgFileReader.java,mobiledevices.dmg.reader.DmgFileReader,openPartition/1[mobiledevices.dmg.reader.Partition],rras,3
C:\ghidra-master\GPL\DMG\src\dmg\java\mobiledevices\dmg\reader\DmgFileReader.java,mobiledevices.dmg.reader.DmgFileReader,getInfo/1[java.lang.String],parser,1
C:\ghidra-master\GPL\DMG\src\dmg\java\mobiledevices\dmg\reader\DmgFileReader.java,mobiledevices.dmg.reader.DmgFileReader,getData/1[mobiledevices.dmg.reader.FSEntry],parser,2
C:\ghidra-master\GPL\DMG\src\dmg\java\mobiledevices\dmg\reader\DmgFileReader.java,mobiledevices.dmg.reader.DmgFileReader,close/0,rootFolders,1
C:\ghidra-master\GPL\DMG\src\dmg\java\mobiledevices\dmg\reader\DmgFileReader.java,mobiledevices.dmg.reader.DmgFileReader,close/0,parser,3
C:\ghidra-master\GPL\DMG\src\dmg\java\mobiledevices\dmg\reader\DmgFileReader.java,mobiledevices.dmg.reader.DmgFileReader,close/0,fileSystemHandlers,1
C:\ghidra-master\GPL\DMG\src\dmg\java\mobiledevices\dmg\reader\DmgFileReader.java,mobiledevices.dmg.reader.DmgFileReader,close/0,rras,1
C:\ghidra-master\GPL\DMG\src\dmg\java\mobiledevices\dmg\reader\DmgFileReader.java,mobiledevices.dmg.reader.DmgFileReader,DmgFileReader/1[mobiledevices.dmg.ghidra.GByteProvider],provider,3
C:\ghidra-master\GPL\DMG\src\dmg\java\mobiledevices\dmg\reader\DmgInfoGenerator.java,mobiledevices.dmg.reader.DmgInfoGenerator,"appendDateInformation/2[mobiledevices.dmg.reader.FSAttributes,java.util.List<java.lang.String>]",df,5
C:\ghidra-master\GPL\DMG\src\dmg\java\mobiledevices\dmg\reader\DmgInfoGenerator.java,mobiledevices.dmg.reader.DmgInfoGenerator,"calculateFolderSize/2[mobiledevices.dmg.reader.FSFolder,mobiledevices.dmg.reader.ObjectContainer<java.lang.Long>]",entry,7
C:\ghidra-master\GPL\DMG\src\dmg\java\mobiledevices\dmg\reader\DmgInfoGenerator.java,mobiledevices.dmg.reader.DmgInfoGenerator,getInformation/0,entry,10
C:\ghidra-master\GPL\DMG\src\dmg\java\mobiledevices\dmg\reader\DmgInfoGenerator.java,mobiledevices.dmg.reader.DmgInfoGenerator,getInformation/0,fileSystem,1
C:\ghidra-master\GPL\DMG\src\dmg\java\mobiledevices\dmg\reader\DmgInfoGenerator.java,mobiledevices.dmg.reader.DmgInfoGenerator,getInformation/0,parser,2
C:\ghidra-master\GPL\DMG\src\dmg\java\mobiledevices\dmg\reader\DmgInfoGenerator.java,mobiledevices.dmg.reader.DmgInfoGenerator,getInformation/0,filePath,1
C:\ghidra-master\GPL\DMG\src\dmg\java\mobiledevices\dmg\reader\DmgInfoGenerator.java,mobiledevices.dmg.reader.DmgInfoGenerator,"DmgInfoGenerator/3[mobiledevices.dmg.reader.DmgFileReader,java.lang.String,mobiledevices.dmg.hfsplus.AttributesFileParser]",fileSystem,4
C:\ghidra-master\GPL\DMG\src\dmg\java\mobiledevices\dmg\reader\DmgInfoGenerator.java,mobiledevices.dmg.reader.DmgInfoGenerator,"DmgInfoGenerator/3[mobiledevices.dmg.reader.DmgFileReader,java.lang.String,mobiledevices.dmg.hfsplus.AttributesFileParser]",entry,1
C:\ghidra-master\GPL\DMG\src\dmg\java\mobiledevices\dmg\reader\DmgInfoGenerator.java,mobiledevices.dmg.reader.DmgInfoGenerator,"DmgInfoGenerator/3[mobiledevices.dmg.reader.DmgFileReader,java.lang.String,mobiledevices.dmg.hfsplus.AttributesFileParser]",parser,3
C:\ghidra-master\GPL\DMG\src\dmg\java\mobiledevices\dmg\reader\DmgInfoGenerator.java,mobiledevices.dmg.reader.DmgInfoGenerator,"DmgInfoGenerator/3[mobiledevices.dmg.reader.DmgFileReader,java.lang.String,mobiledevices.dmg.hfsplus.AttributesFileParser]",filePath,4
C:\ghidra-master\GPL\DMG\src\dmg\java\mobiledevices\dmg\ghidra\GFileUtilityMethods.java,mobiledevices.dmg.ghidra.GFileUtilityMethods,"writeTemporaryFile/2[java.io.InputStream,int]",GHIDRA_FILE_SYSTEM_PREFIX,1
C:\ghidra-master\GPL\DMG\src\dmg\java\mobiledevices\dmg\ghidra\GFileUtilityMethods.java,mobiledevices.dmg.ghidra.GFileUtilityMethods,"writeTemporaryFile/2[java.io.InputStream,int]",GHIDRA_FILE_SYSTEM_SUFFIX,1
C:\ghidra-master\GPL\DMG\src\dmg\java\mobiledevices\dmg\ghidra\GFileUtilityMethods.java,mobiledevices.dmg.ghidra.GFileUtilityMethods,"writeTemporaryFile/2[byte[],java.lang.String]",GHIDRA_FILE_SYSTEM_PREFIX,1
C:\ghidra-master\GPL\DMG\src\dmg\java\mobiledevices\dmg\ghidra\GFileUtilityMethods.java,mobiledevices.dmg.ghidra.GFileUtilityMethods,"writeTemporaryFile/2[byte[],java.lang.String]",GHIDRA_FILE_SYSTEM_SUFFIX,1
C:\ghidra-master\GPL\DMG\src\dmg\java\mobiledevices\dmg\btree\BTreeUserDataRecord.java,mobiledevices.dmg.btree.BTreeUserDataRecord,getUnused/0,unused,1
C:\ghidra-master\GPL\DMG\src\dmg\java\mobiledevices\dmg\btree\BTreeUserDataRecord.java,mobiledevices.dmg.btree.BTreeUserDataRecord,BTreeUserDataRecord/1[mobiledevices.dmg.ghidra.GBinaryReader],unused,1
C:\ghidra-master\GPL\DMG\src\dmg\java\mobiledevices\dmg\hfsplus\AttributesFileParser.java,mobiledevices.dmg.hfsplus.AttributesFileParser,"AttributesFileParser/2[mobiledevices.dmg.hfsplus.HFSXFileSystemHandler,java.lang.String]",provider,2
C:\ghidra-master\GPL\DMG\src\dmg\java\mobiledevices\dmg\hfsplus\AttributesFileParser.java,mobiledevices.dmg.hfsplus.AttributesFileParser,"AttributesFileParser/2[mobiledevices.dmg.hfsplus.HFSXFileSystemHandler,java.lang.String]",root,1
C:\ghidra-master\GPL\DMG\src\dmg\java\mobiledevices\dmg\hfsplus\AttributesFileParser.java,mobiledevices.dmg.hfsplus.AttributesFileParser,getDecmpfsHeader/1[mobiledevices.dmg.hfsplus.FSFile],root,2
C:\ghidra-master\GPL\DMG\src\dmg\java\mobiledevices\dmg\hfsplus\AttributesFileParser.java,mobiledevices.dmg.hfsplus.AttributesFileParser,getDecmpfsHeader/1[mobiledevices.dmg.hfsplus.FSFile],map,3
C:\ghidra-master\GPL\DMG\src\dmg\java\mobiledevices\dmg\hfsplus\AttributesFileParser.java,mobiledevices.dmg.hfsplus.AttributesFileParser,dispose/0,provider,1
C:\ghidra-master\GPL\DMG\src\dmg\java\mobiledevices\dmg\hfsplus\AttributesFileParser.java,mobiledevices.dmg.hfsplus.AttributesFileParser,dispose/0,map,1
C:\ghidra-master\GPL\DMG\src\dmg\java\mobiledevices\dmg\ghidra\GBinaryReader.java,mobiledevices.dmg.ghidra.GBinaryReader,readAsciiString/1[long],provider,1
C:\ghidra-master\GPL\DMG\src\dmg\java\mobiledevices\dmg\ghidra\GBinaryReader.java,mobiledevices.dmg.ghidra.GBinaryReader,readUnicodeString/1[long],provider,2
C:\ghidra-master\GPL\DMG\src\dmg\java\mobiledevices\dmg\ghidra\GBinaryReader.java,mobiledevices.dmg.ghidra.GBinaryReader,peekNextInt/0,currentIndex,1
C:\ghidra-master\GPL\DMG\src\dmg\java\mobiledevices\dmg\ghidra\GBinaryReader.java,mobiledevices.dmg.ghidra.GBinaryReader,readNextUnicodeString/1[int],currentIndex,2
C:\ghidra-master\GPL\DMG\src\dmg\java\mobiledevices\dmg\ghidra\GBinaryReader.java,mobiledevices.dmg.ghidra.GBinaryReader,getPointerIndex/0,currentIndex,1
C:\ghidra-master\GPL\DMG\src\dmg\java\mobiledevices\dmg\ghidra\GBinaryReader.java,mobiledevices.dmg.ghidra.GBinaryReader,readNextByte/0,currentIndex,2
C:\ghidra-master\GPL\DMG\src\dmg\java\mobiledevices\dmg\ghidra\GBinaryReader.java,mobiledevices.dmg.ghidra.GBinaryReader,readNextByte/0,SIZEOF_BYTE,1
C:\ghidra-master\GPL\DMG\src\dmg\java\mobiledevices\dmg\ghidra\GBinaryReader.java,mobiledevices.dmg.ghidra.GBinaryReader,setPointerIndex/1[long],currentIndex,1
C:\ghidra-master\GPL\DMG\src\dmg\java\mobiledevices\dmg\ghidra\GBinaryReader.java,mobiledevices.dmg.ghidra.GBinaryReader,"readUnicodeString/2[long,int]",provider,2
C:\ghidra-master\GPL\DMG\src\dmg\java\mobiledevices\dmg\ghidra\GBinaryReader.java,mobiledevices.dmg.ghidra.GBinaryReader,readNextInt/0,SIZEOF_INT,1
C:\ghidra-master\GPL\DMG\src\dmg\java\mobiledevices\dmg\ghidra\GBinaryReader.java,mobiledevices.dmg.ghidra.GBinaryReader,readNextInt/0,currentIndex,2
C:\ghidra-master\GPL\DMG\src\dmg\java\mobiledevices\dmg\ghidra\GBinaryReader.java,mobiledevices.dmg.ghidra.GBinaryReader,setPointerIndex/1[int],currentIndex,1
C:\ghidra-master\GPL\DMG\src\dmg\java\mobiledevices\dmg\ghidra\GBinaryReader.java,mobiledevices.dmg.ghidra.GBinaryReader,"readNextLongArray/4[int,long,long,java.lang.Long[]]",SIZEOF_LONG,1
C:\ghidra-master\GPL\DMG\src\dmg\java\mobiledevices\dmg\ghidra\GBinaryReader.java,mobiledevices.dmg.ghidra.GBinaryReader,"readNextLongArray/4[int,long,long,java.lang.Long[]]",currentIndex,2
C:\ghidra-master\GPL\DMG\src\dmg\java\mobiledevices\dmg\ghidra\GBinaryReader.java,mobiledevices.dmg.ghidra.GBinaryReader,isLittleEndian/0,converter,1
C:\ghidra-master\GPL\DMG\src\dmg\java\mobiledevices\dmg\ghidra\GBinaryReader.java,mobiledevices.dmg.ghidra.GBinaryReader,peekNextShort/0,currentIndex,1
C:\ghidra-master\GPL\DMG\src\dmg\java\mobiledevices\dmg\ghidra\GBinaryReader.java,mobiledevices.dmg.ghidra.GBinaryReader,"writeLong/2[long,long]",provider,1
C:\ghidra-master\GPL\DMG\src\dmg\java\mobiledevices\dmg\ghidra\GBinaryReader.java,mobiledevices.dmg.ghidra.GBinaryReader,"writeLong/2[long,long]",converter,1
C:\ghidra-master\GPL\DMG\src\dmg\java\mobiledevices\dmg\ghidra\GBinaryReader.java,mobiledevices.dmg.ghidra.GBinaryReader,"GBinaryReader/2[mobiledevices.dmg.ghidra.GByteProvider,boolean]",provider,4
